plot_size_hectares,soil_ph,soil_type,planned_crop_family,planned_nitrogen_demand,ph_distance_from_ideal,soil_type_match,same_family_repeat_count,heavy_feeder_streak,seasons_since_nitrogen_fixer,rotation_length,planned_crop,previous_crops,risk_level,should_rotate,risk_score
20.49,4.64,clay,nightshade,2,0.16,0,0,1,2,3,potato,peas|wheat|corn,medium,0,4.02
24.65,5.06,silt,grain,3,0.44,1,0,0,0,1,rice,soybean,low,1,0.7
9.17,6.49,sandy,nightshade,2,0,1,0,2,2,2,potato,tomato|cabbage,medium,1,4.2
0.37,5.06,loam,brassica,3,0.94,1,0,0,2,2,cabbage,lettuce|onion,medium,0,2.8
12.79,6.08,silt,nightshade,3,0,0,0,1,1,3,tomato,wheat|peas|cabbage,medium,0,4.11
1.05,4.45,sandy,nightshade,3,1.55,0,0,0,0,2,tomato,wheat|beans,medium,0,3.21
1.34,4.49,clay,grain,3,1.31,0,0,1,2,2,corn,potato|broccoli,medium,1,3.85
13.21,5.21,clay,aster,2,0.79,0,1,0,3,3,lettuce,onion|carrot|lettuce,high,1,5.3
34.85,6.67,sandy,legume,1,0,0,1,0,0,3,soybean,carrot|wheat|peas,medium,1,2.84
25.14,7.67,sandy,brassica,3,0.67,0,0,0,0,3,broccoli,lettuce|potato|clover,medium,0,2.16
26.51,6.32,loam,brassica,3,0,1,0,0,0,0,broccoli,,low,0,0.17
30.19,7.42,clay,nightshade,3,0.62,0,1,0,1,4,tomato,wheat|rice|soybean|potato,high,1,4.64
2.55,6.26,sandy,legume,1,0,0,0,1,1,1,soybean,rice,medium,0,2.95
25.82,6.74,sandy,brassica,3,0,0,1,1,2,2,cabbage,wheat|cabbage,high,1,5.26
0.83,7.26,sandy,grain,3,0.76,0,2,3,4,4,rice,lettuce|broccoli|rice|corn,high,1,12.15
45.21,7.83,clay,grain,2,0.83,1,1,1,2,2,wheat,lettuce|rice,high,1,5.35
33,6.91,sandy,grain,2,0,0,0,0,1,3,wheat,clover|clover|pepper,medium,0,2.81
37.57,6.66,silt,legume,1,0,1,0,0,1,1,clover,wheat,low,0,0.03
1.22,7.8,sandy,legume,1,0.8,0,0,0,3,3,clover,corn|lettuce|lettuce,medium,0,3.79
15.28,4.79,clay,nightshade,2,0.01,0,2,0,2,4,potato,clover|peas|pepper|pepper,high,1,4.53
11.73,8.43,sandy,nightshade,2,1.93,1,0,0,4,4,potato,pepper|rice|corn|onion,medium,0,4.28
33.36,7.76,loam,aster,2,0.76,1,0,1,1,1,lettuce,cabbage,medium,0,3.03
4.67,6.99,clay,legume,1,0,1,1,0,0,1,clover,clover,low,1,0.69
8.35,7.08,loam,nightshade,2,0.58,1,0,3,3,3,potato,tomato|cabbage|broccoli,high,1,6.57
23.91,6.93,sandy,grain,3,0,0,0,0,1,2,corn,soybean|carrot,medium,0,3.16
5.71,6.04,silt,legume,1,0,1,0,1,1,2,clover,soybean|rice,medium,0,2.78
40.44,6.58,loam,legume,1,0,1,0,0,2,3,peas,peas|wheat|onion,low,0,1.52
32.09,4.98,clay,legume,1,1.02,1,0,1,3,3,clover,tomato|carrot|broccoli,medium,0,3.18
19.25,5.27,sandy,legume,1,0.73,0,0,0,1,3,clover,corn|beans|potato,low,0,1.64
16.97,5.86,loam,legume,1,0.14,1,1,0,0,2,clover,onion|soybean,low,1,1.89
20.39,6.53,loam,grain,3,0,1,0,0,2,2,corn,cabbage|onion,low,0,1.68
11.47,4.38,silt,grain,3,1.12,1,0,0,4,4,rice,tomato|potato|rice|onion,medium,0,2.83
3.5,4.29,clay,grain,2,1.71,1,0,0,0,1,wheat,soybean,medium,0,2.06
12.49,7.04,loam,aster,2,0.04,1,0,0,0,4,lettuce,carrot|tomato|wheat|soybean,low,0,0.43
44.73,5.67,loam,grain,3,0.13,1,1,0,3,4,corn,peas|pepper|pepper|wheat,medium,1,3.06
45.51,5.75,sandy,allium,2,0.25,1,0,0,0,2,onion,rice|beans,low,0,1.21
15.96,4.34,loam,umbellifer,1,1.66,1,0,1,1,1,carrot,corn,medium,0,3.37
37.04,8.06,clay,allium,2,1.06,0,0,0,0,2,onion,carrot|beans,low,0,1.64
27.38,4.38,clay,aster,2,1.62,0,0,0,2,2,lettuce,lettuce|pepper,medium,0,3.79
42.4,4.65,loam,aster,2,1.35,1,0,0,0,2,lettuce,rice|clover,low,0,1.86
13.32,6.02,loam,umbellifer,1,0,1,0,0,4,4,carrot,tomato|carrot|cabbage|pepper,low,0,0.31
44.64,4.59,sandy,brassica,3,1.41,0,0,0,0,1,cabbage,peas,low,0,3.43
30.72,7.31,loam,grain,3,0.31,1,0,0,0,3,corn,onion|potato|peas,low,0,1.08
3.61,4.54,clay,legume,1,1.46,0,0,0,3,3,soybean,pepper|onion|onion,high,0,4.75
21.12,5.27,loam,grain,2,0.73,1,0,0,0,2,wheat,beans|peas,high,0,0.84
32.84,6.66,loam,legume,1,0,1,1,0,0,2,beans,cabbage|beans,low,1,1.95
14.74,5.82,silt,brassica,3,0.18,0,0,0,2,4,broccoli,onion|clover|carrot|lettuce,medium,0,2.14
39.48,5.33,clay,aster,2,0.67,0,0,1,1,3,lettuce,beans|peas|tomato,medium,0,3.61
22.21,6.51,clay,brassica,3,0,1,0,0,1,2,cabbage,beans|onion,low,0,1.02
1.54,4.76,sandy,legume,1,1.24,1,0,0,2,3,beans,clover|tomato|onion,medium,0,2.18
38.54,5.65,sandy,grain,3,0.15,0,0,1,1,1,corn,broccoli,medium,0,3.41
34.77,7.1,loam,aster,2,0.1,1,0,1,1,1,lettuce,rice,medium,0,3.09
38.13,6.14,silt,umbellifer,1,0,0,0,2,2,3,carrot,beans|tomato|rice,high,1,4.87
5.27,4.96,clay,grain,2,1.04,1,0,0,2,2,wheat,lettuce|pepper,low,0,1.21
39.86,6.95,clay,grain,3,0,0,2,0,3,3,corn,pepper|corn|wheat,high,1,5.89
35.58,8.46,loam,legume,1,1.46,1,1,0,0,4,soybean,rice|cabbage|cabbage|clover,medium,1,3.08
22.26,7.58,clay,legume,1,0.58,1,0,0,3,3,clover,potato|rice|carrot,low,0,1.27
3.9,7.34,loam,grain,3,0.34,1,0,0,0,1,corn,beans,low,0,1.33
23.99,5.18,sandy,umbellifer,1,0.82,1,0,0,2,2,carrot,tomato|lettuce,low,0,1.46
31.81,5.78,sandy,nightshade,2,0,1,0,1,1,1,pepper,rice,medium,0,2.11
37.58,6.36,sandy,legume,1,0,0,0,2,2,3,peas,beans|corn|corn,high,1,4.51
18.43,7,sandy,umbellifer,1,0.2,1,0,0,0,1,carrot,soybean,low,0,0
7.08,5.03,silt,legume,1,0.97,0,0,0,3,3,beans,cabbage|onion|carrot,medium,0,2.89
49.17,6.14,silt,allium,2,0,0,0,1,1,1,onion,broccoli,medium,0,2.61
37.14,6.3,clay,legume,1,0,0,0,2,4,4,soybean,pepper|pepper|tomato|broccoli,high,1,5.71
35.74,7.02,clay,allium,2,0.02,0,0,1,3,3,onion,cabbage|onion|tomato,medium,0,4.32
12.82,7.27,loam,grain,3,0.27,1,0,0,0,2,corn,onion|soybean,low,0,0.67
44.7,5.62,loam,legume,1,0.38,1,0,0,2,2,clover,corn|lettuce,low,0,1.78
31.76,4.65,clay,umbellifer,1,1.35,0,0,0,0,4,carrot,potato|potato|pepper|beans,low,0,1.86
14.01,5.29,sandy,legume,1,0.71,1,0,1,1,1,beans,corn,medium,0,2.45
26.8,5.76,clay,nightshade,2,0,0,0,0,2,3,potato,soybean|potato|carrot,medium,0,2.26
45.53,7.32,sandy,legume,1,0.32,0,0,0,3,3,soybean,wheat|rice|pepper,medium,0,2.18
33.09,7.96,silt,allium,2,0.96,0,0,3,3,3,onion,cabbage|tomato|cabbage,high,1,6.85
38.24,6.78,sandy,legume,1,0,0,0,1,2,2,peas,carrot|rice,medium,0,3.12
42,7.13,sandy,nightshade,3,0.33,0,0,0,1,1,tomato,onion,medium,0,3.28
19.13,5.29,sandy,grain,3,0.21,0,0,0,0,4,rice,lettuce|pepper|broccoli|soybean,medium,0,2.49
11.85,6.64,clay,grain,3,0.14,1,0,0,4,4,rice,broccoli|broccoli|pepper|potato,medium,0,3.84
10.58,4.94,clay,umbellifer,1,1.06,0,0,0,0,2,carrot,clover|soybean,medium,0,2.1
40.83,4.26,loam,grain,3,1.24,0,0,0,4,4,rice,corn|wheat|carrot|pepper,medium,0,3.91
25.45,6.91,silt,umbellifer,1,0.11,0,0,0,2,2,carrot,corn|pepper,medium,0,2.31
18.7,7.63,sandy,grain,3,0.63,0,0,0,0,4,corn,soybean|clover|pepper|beans,medium,0,3.09
25.57,4.4,silt,legume,1,1.6,0,0,0,2,2,beans,onion|onion,medium,0,2.7
9.83,5.53,sandy,aster,2,0.47,0,0,2,3,3,lettuce,wheat|corn|corn,medium,1,6.3
45.81,4.22,sandy,legume,1,1.78,0,0,0,4,4,peas,cabbage|tomato|potato|lettuce,high,0,5
2.4,6.06,silt,nightshade,3,0,0,0,0,1,1,tomato,wheat,medium,0,3.06
4.42,4.59,loam,legume,1,1.41,1,0,0,0,0,beans,,low,0,1.2
20,7.72,sandy,allium,2,0.72,1,0,1,3,3,onion,corn|pepper|cabbage,high,0,4.7
27.46,5.47,loam,nightshade,3,0.53,1,0,2,2,2,tomato,cabbage|cabbage,high,1,5.12
8.05,6.81,clay,nightshade,2,0.01,0,1,1,1,1,pepper,tomato,medium,1,4.43
6,6.48,silt,allium,2,0,0,0,0,0,3,onion,peas|corn|peas,low,0,1.14
18.21,7.83,silt,legume,1,0.83,1,0,1,2,2,clover,carrot|cabbage,medium,0,2.97
35.11,8.45,silt,aster,2,1.45,1,1,0,4,4,lettuce,pepper|cabbage|pepper|lettuce,high,1,5.09
19.07,5.5,clay,nightshade,2,0,0,0,0,0,4,pepper,onion|clover|cabbage|peas,medium,0,2.71
25.57,8.38,clay,nightshade,2,1.88,0,0,0,1,2,potato,beans|carrot,medium,0,2.73
24.47,5.86,loam,allium,2,0.14,1,0,0,0,0,onion,,low,0,0
4.69,7.26,silt,grain,3,0.76,1,2,2,2,2,rice,rice|rice,high,1,8.53
47.16,5.64,clay,nightshade,2,0,0,0,0,0,0,potato,,low,0,0.87
18.39,8.14,clay,aster,2,1.14,0,0,0,0,2,lettuce,broccoli|beans,low,0,0.4
2.36,6.07,loam,grain,3,0,1,0,0,3,3,corn,rice|rice|lettuce,medium,1,2.48
46.91,4.41,silt,legume,1,1.59,1,1,0,0,4,soybean,clover|peas|tomato|beans,medium,1,2.56
23.02,5.11,loam,legume,1,0.89,1,0,0,3,3,beans,potato|rice|pepper,medium,0,2.31
39.4,4.22,clay,nightshade,2,0.58,0,0,0,1,2,potato,clover|lettuce,medium,0,2.92
13.16,6.15,clay,grain,3,0,1,0,0,1,4,rice,wheat|tomato|clover|pepper,medium,0,2.15
3.04,5.71,clay,grain,2,0.29,1,0,0,0,1,wheat,peas,low,0,0.14
42.21,8.01,clay,aster,2,1.01,0,0,2,2,3,lettuce,peas|rice|tomato,high,1,7.09
11.45,7.71,silt,grain,3,0.71,1,1,1,1,3,corn,rice|soybean|corn,low,1,5.67
40.5,6.75,clay,grain,3,0,0,0,0,2,4,corn,beans|clover|carrot|lettuce,medium,0,2.85
28.13,5.61,sandy,legume,1,0.39,0,0,1,3,3,soybean,rice|onion|cabbage,medium,0,3.99
27.81,5.12,silt,legume,1,0.88,1,1,0,0,1,peas,beans,medium,1,2.38
41.83,4.58,loam,nightshade,2,0.22,1,0,0,0,1,potato,beans,low,0,1.24
45.09,7.32,clay,grain,3,0.32,0,1,1,1,1,corn,corn,high,1,6.35
20.22,7.14,clay,nightshade,2,0.64,0,0,0,2,4,potato,soybean|clover|onion|onion,medium,0,3.56
26.25,7.99,loam,legume,1,0.49,1,0,1,4,4,peas,rice|tomato|pepper|corn,medium,0,3.09
22.45,6.73,loam,umbellifer,1,0,1,0,0,1,4,carrot,clover|beans|clover|pepper,low,0,0.67
48.39,5.57,loam,nightshade,3,0.43,1,0,0,2,4,tomato,onion|clover|broccoli|lettuce,low,0,1.55
2.75,7.71,sandy,umbellifer,1,0.91,1,0,0,0,0,carrot,,medium,0,2
17.69,5.77,silt,grain,3,0,1,1,1,1,1,rice,rice,medium,1,4.49
45.13,5.6,clay,nightshade,2,0,0,0,1,2,3,potato,beans|carrot|corn,medium,0,3.62
44.49,4.63,clay,grain,2,1.37,1,0,1,2,2,wheat,pepper|tomato,high,1,5.25
14.82,8.25,silt,grain,3,1.25,1,0,3,3,3,corn,rice|rice|broccoli,high,1,8.49
31.09,8.15,sandy,aster,2,1.15,0,0,1,3,4,lettuce,beans|carrot|wheat|broccoli,high,0,5.03
21.94,5.55,sandy,aster,2,0.45,0,0,1,4,4,lettuce,corn|rice|lettuce|tomato,high,0,4.88
2.63,5.57,sandy,legume,1,0.43,0,2,0,0,4,soybean,clover|rice|clover|clover,medium,1,4.33
29.45,6.09,sandy,grain,3,0,0,0,0,2,2,corn,corn|lettuce,medium,0,3.48
35.24,7.83,silt,brassica,3,0.33,0,0,0,0,2,cabbage,clover|peas,low,0,1.86
33.35,7.77,clay,grain,3,0.77,0,0,0,0,4,corn,beans|broccoli|cabbage|soybean,low,0,1.64
0.71,7.17,clay,grain,3,0.17,0,1,1,1,1,corn,rice,high,1,6.77
25.37,7.2,sandy,grain,2,0.2,0,0,0,0,0,wheat,,low,0,1.09
4.78,5.15,sandy,legume,1,0.85,0,0,0,2,3,clover,clover|rice|pepper,low,0,1.84
28.4,4.83,sandy,nightshade,3,1.17,0,0,0,0,0,tomato,,medium,0,3.52
28.51,6.68,clay,nightshade,3,0,0,0,0,0,2,tomato,clover|clover,low,0,1.89
23.93,4.39,loam,nightshade,2,0.41,1,0,1,2,2,potato,carrot|broccoli,medium,0,2.84
10.97,5.03,sandy,legume,1,0.97,1,0,0,1,2,beans,peas|lettuce,low,0,1.18
42.42,4.88,sandy,grain,3,0.92,0,0,1,1,1,corn,broccoli,medium,0,4.48
10.7,5.83,sandy,grain,3,0,0,0,0,2,4,rice,rice|beans|wheat|potato,medium,0,2.23
47.36,7.22,loam,legume,1,0.22,1,0,0,1,3,soybean,beans|peas|lettuce,low,0,0.49
28.61,6.97,silt,aster,2,0,1,0,1,1,3,lettuce,peas|soybean|corn,low,0,1.31
12.74,4.26,clay,grain,2,1.74,1,0,0,0,2,wheat,potato|soybean,low,0,0.64
0.42,8.05,sandy,legume,1,1.05,0,0,1,1,4,clover,peas|onion|clover|cabbage,medium,0,2.45
43.05,4.58,silt,legume,1,1.42,0,0,1,1,1,beans,corn,medium,0,3.44
21.01,7.66,loam,allium,2,0.66,1,0,0,0,0,onion,,low,0,0.7
12.87,8.43,clay,umbellifer,1,1.63,0,0,0,0,2,carrot,corn|clover,low,0,1.68
17.28,4.9,clay,grain,3,0.6,1,0,0,1,1,rice,carrot,low,0,1.94
8.63,5.72,clay,nightshade,2,0,0,0,0,2,2,pepper,potato|carrot,medium,1,2.13
4.81,4.66,clay,nightshade,2,0.84,0,0,0,0,2,pepper,pepper|peas,low,0,1.7
28.49,6.19,silt,grain,3,0,1,0,0,3,3,rice,wheat|tomato|pepper,medium,0,2.66
37.55,7.52,loam,nightshade,2,1.02,1,0,0,2,2,potato,onion|carrot,low,0,1.68
47.14,6.39,silt,legume,1,0,1,0,0,1,1,clover,pepper,low,0,0.15
15.62,4.43,clay,nightshade,2,1.07,0,0,0,1,1,pepper,carrot,medium,0,2.66
30.79,6.51,loam,grain,3,0.01,0,0,0,0,3,rice,rice|corn|beans,low,0,1.45
49.37,7.02,loam,legume,1,0.02,1,0,0,3,3,clover,pepper|carrot|wheat,medium,0,2.7
35.56,7.21,loam,umbellifer,1,0.41,1,0,3,3,3,carrot,corn|rice|corn,high,1,6.68
48.94,5.39,loam,legume,1,0.61,1,0,0,4,4,soybean,rice|carrot|potato|potato,low,0,1.21
18.71,5.03,loam,nightshade,2,0.47,1,0,0,0,0,pepper,,medium,0,1.85
19.85,4.21,clay,legume,1,1.79,0,2,0,0,3,peas,cabbage|soybean|clover,high,1,6.34
45.16,4.61,loam,grain,3,0.89,0,0,3,3,3,rice,broccoli|corn|broccoli,high,1,7.63
29.95,5.99,clay,nightshade,2,0,0,0,0,1,1,potato,lettuce,low,0,0.87
26.59,4.71,clay,legume,1,1.29,0,0,0,1,1,beans,carrot,low,0,1.68
31.04,5.89,loam,brassica,3,0.11,1,0,0,0,0,cabbage,,low,0,1.85
18.41,6.6,sandy,aster,2,0,0,0,1,1,2,lettuce,clover|tomato,medium,0,2.26
44.56,5.85,silt,legume,1,0.15,1,0,1,1,1,clover,cabbage,low,0,1.42
14.42,7.48,sandy,legume,1,0.48,1,0,2,3,3,beans,potato|tomato|tomato,high,1,4.54
34.27,6.8,loam,umbellifer,1,0,1,0,1,1,1,carrot,tomato,low,0,1.62
9.57,7.84,silt,grain,3,1.34,1,1,0,2,2,rice,lettuce|wheat,high,1,4.9
48.44,5.3,silt,brassica,3,0.7,0,0,0,1,1,broccoli,lettuce,medium,0,2.66
33.71,4.64,clay,nightshade,2,0.86,0,0,3,3,3,pepper,cabbage|broccoli|cabbage,high,1,6.36
31.18,5.95,loam,umbellifer,1,0.05,1,1,0,2,2,carrot,lettuce|carrot,medium,1,3.34
13.26,5.06,sandy,allium,2,0.94,1,0,1,1,1,onion,rice,medium,0,3.46
14.16,6.18,loam,legume,1,0,1,1,0,0,2,clover,corn|peas,low,1,1.38
10.2,7.71,loam,grain,2,0.71,1,0,0,0,0,wheat,,low,0,0.88
26.5,5.94,sandy,umbellifer,1,0.06,1,0,0,1,1,carrot,lettuce,low,0,0
13.5,5.62,silt,nightshade,3,0.38,0,0,0,1,2,tomato,clover|carrot,medium,0,2.7
38.63,8.08,sandy,legume,1,1.08,0,0,1,1,2,soybean,soybean|tomato,medium,0,3.3
46.57,6.76,silt,allium,2,0,0,0,0,0,0,onion,,low,0,1.89
4.05,5.68,sandy,grain,3,0.12,0,1,1,1,2,corn,clover|corn,medium,1,4.37
45.86,5.52,clay,aster,2,0.48,0,0,1,2,2,lettuce,onion|tomato,medium,0,3.48
47,6.68,silt,legume,1,0,0,0,0,3,3,beans,rice|wheat|lettuce,medium,0,2.29
12.06,7.54,clay,legume,1,0.54,0,0,0,1,1,beans,wheat,low,0,1.79
49.89,8.3,loam,legume,1,1.3,1,0,0,3,3,soybean,rice|tomato|lettuce,medium,0,3.01
40.5,6.15,silt,legume,1,0,1,0,0,1,3,soybean,potato|soybean|wheat,low,0,1.09
1,6.5,clay,nightshade,2,0,0,0,1,1,4,potato,lettuce|peas|clover|rice,medium,0,3.49
4.71,8.21,sandy,legume,1,0.71,0,1,0,0,1,peas,peas,medium,1,3.6
32.93,7.38,loam,nightshade,3,0.58,1,0,0,0,4,tomato,pepper|onion|potato|beans,low,0,1.17
5.71,5.03,loam,aster,2,0.97,1,0,2,3,3,lettuce,lettuce|broccoli|corn,high,1,6.28
20.61,5.67,loam,legume,1,0.33,1,0,2,4,4,soybean,potato|potato|rice|cabbage,medium,1,4.04
9.83,4.21,sandy,legume,1,1.79,0,0,0,0,0,clover,,medium,0,2.82
31.5,5.74,loam,aster,2,0.26,1,0,0,2,2,lettuce,pepper|wheat,medium,0,2.8
49.21,4.36,loam,nightshade,2,0.44,1,0,0,4,4,potato,rice|carrot|rice|wheat,medium,0,2.57
33.16,8.27,clay,nightshade,3,1.47,0,0,0,0,0,tomato,,medium,0,2.48
45.93,7.48,clay,nightshade,2,0.98,0,0,0,1,4,potato,clover|corn|soybean|wheat,medium,0,4.08
17.62,4.86,silt,grain,3,0.64,1,1,4,4,4,rice,corn|cabbage|broccoli|rice,high,1,9.96
12.38,4.75,sandy,brassica,3,1.25,0,0,0,1,2,cabbage,clover|lettuce,medium,0,2.81
11.81,4.93,silt,legume,1,1.07,1,0,0,1,3,soybean,soybean|clover|pepper,low,0,0.96
34.59,7.76,loam,allium,2,0.76,1,0,0,0,2,onion,rice|soybean,low,0,0.78
17.57,4.35,silt,grain,2,1.65,0,0,0,4,4,wheat,pepper|potato|corn|pepper,high,0,4.63
25.33,4.88,loam,nightshade,3,1.12,1,0,0,0,0,tomato,,medium,1,2.45
19.88,5.72,loam,legume,1,0.28,1,0,2,4,4,clover,broccoli|pepper|broccoli|rice,medium,1,4.4
39.71,6.91,sandy,nightshade,2,0.11,1,0,0,0,4,pepper,onion|tomato|potato|soybean,low,0,0
6.64,5.1,loam,umbellifer,1,0.9,1,1,0,1,4,carrot,rice|rice|clover|carrot,medium,1,2.07
14.67,8.49,sandy,nightshade,2,1.69,1,0,2,4,4,pepper,lettuce|carrot|cabbage|rice,high,1,6.31
33.28,7.15,loam,grain,3,0.65,0,1,2,2,3,rice,peas|tomato|corn,high,1,7.12
49.65,5.11,clay,legume,1,0.89,1,1,0,0,2,clover,lettuce|clover,medium,1,3.29
36.13,7.92,loam,grain,2,0.92,1,0,0,0,4,wheat,wheat|pepper|corn|beans,low,0,0.29
0.42,7.08,loam,aster,2,0.08,1,0,0,1,2,lettuce,beans|onion,low,0,1.81
7.51,8.02,clay,legume,1,1.02,0,0,3,3,3,soybean,rice|tomato|broccoli,high,1,8.5
11.54,7.76,silt,brassica,3,0.76,0,0,0,0,2,broccoli,wheat|peas,medium,0,2.78
2.35,5.57,clay,allium,2,0.43,0,0,1,1,1,onion,broccoli,medium,0,3.33
3.69,6.63,sandy,legume,1,0,0,0,2,2,2,peas,corn|cabbage,medium,1,4.32
4.66,7.3,loam,brassica,3,0,1,0,0,2,2,cabbage,pepper|potato,low,0,1.36
1.01,4.93,loam,brassica,3,1.07,1,0,0,0,0,broccoli,,low,0,1.96
4.9,7.33,clay,grain,3,0.83,1,0,1,1,2,rice,soybean|cabbage,medium,0,3.4
23.19,6.64,silt,nightshade,3,0,0,0,0,0,0,tomato,,medium,0,2.75
3.8,6.03,silt,legume,1,0,1,0,0,0,0,soybean,,low,0,0
33.78,4.32,sandy,umbellifer,1,1.68,1,0,0,2,2,carrot,pepper|pepper,low,0,1.53
21.08,5.22,loam,brassica,3,0.78,1,0,0,1,3,broccoli,clover|clover|carrot,low,0,1.68
19.17,5.53,clay,nightshade,2,0,0,0,2,3,3,pepper,onion|cabbage|broccoli,high,1,5.22
11.74,4.82,loam,grain,2,1.18,1,0,0,1,2,wheat,peas|lettuce,medium,0,2.29
14.21,6.95,sandy,nightshade,2,0.45,1,0,0,0,0,potato,,low,1,0.84
48.41,6.2,sandy,legume,1,0,1,0,1,2,2,beans,onion|tomato,low,0,1.8
15.54,8.25,silt,aster,2,1.25,1,0,0,0,1,lettuce,clover,low,0,1.41
1.79,7.89,clay,grain,3,0.89,0,0,0,0,2,corn,peas|peas,medium,1,2.3
48.76,6.63,loam,nightshade,2,0.13,1,0,0,0,2,potato,wheat|clover,low,0,0
6.95,7.19,loam,legume,1,0,1,0,0,1,1,peas,carrot,low,1,0
5.6,6.47,silt,nightshade,3,0,0,0,0,0,3,tomato,tomato|beans|soybean,medium,0,2.29
30.74,8.14,sandy,brassica,3,0.64,0,0,0,0,2,cabbage,clover|beans,low,0,1.76
13.16,8.07,sandy,umbellifer,1,1.27,1,1,0,1,1,carrot,carrot,medium,1,3.55
3.74,8.06,clay,nightshade,3,1.26,0,0,2,2,2,tomato,cabbage|cabbage,high,1,6.64
47.24,5.31,silt,legume,1,0.69,0,1,0,0,1,beans,clover,medium,1,4.17
20.55,4.27,loam,grain,3,1.23,0,0,1,1,1,rice,cabbage,medium,0,4.39
46.77,8.45,sandy,grain,2,1.45,0,1,0,1,1,wheat,wheat,high,1,5.31
49.89,7.47,silt,grain,3,0.97,1,0,0,0,0,rice,,medium,0,2.13
15.14,7.86,sandy,legume,1,0.86,0,0,0,1,1,soybean,carrot,medium,0,3.14
23.68,6.72,loam,grain,3,0,1,1,1,1,1,corn,corn,medium,1,4.25
19.14,4.48,loam,brassica,3,1.52,1,0,0,0,0,cabbage,,medium,1,2.75
43.74,4.66,clay,legume,1,1.34,0,0,0,1,3,soybean,potato|peas|lettuce,medium,0,2.03
16.61,5.65,silt,grain,3,0.15,1,0,0,2,2,corn,tomato|onion,medium,0,2.07
11,4.5,sandy,nightshade,2,1,1,0,0,0,1,pepper,beans,low,0,1
46.73,6.57,clay,legume,1,0,1,1,0,0,1,clover,clover,low,1,1.23
41.46,4.88,loam,grain,3,0.92,1,0,0,0,4,corn,soybean|beans|potato|beans,low,0,1.79
33.2,7.27,silt,nightshade,2,0.47,0,0,1,3,3,pepper,broccoli|onion|broccoli,high,0,5.04
41.58,4.34,sandy,umbellifer,1,1.66,1,0,0,3,3,carrot,rice|cabbage|lettuce,medium,0,2.34
40.26,4.59,silt,nightshade,2,0.21,0,0,0,0,4,potato,wheat|potato|beans|soybean,medium,0,2.55
42.09,4.45,loam,nightshade,2,1.05,1,0,1,1,3,pepper,lettuce|peas|corn,medium,0,3.71
19.6,4.98,sandy,umbellifer,1,1.02,1,0,0,0,4,carrot,clover|onion|rice|soybean,low,0,1.76
7.75,7.61,clay,grain,3,1.11,1,0,0,0,0,rice,,low,0,1.31
0.6,4.29,loam,legume,1,1.71,1,0,0,2,2,beans,potato|wheat,medium,0,2.85
45.06,7.57,sandy,legume,1,0.57,0,0,1,3,3,clover,potato|lettuce|tomato,high,0,4.59
15.83,8.06,clay,grain,3,1.56,1,0,0,0,1,rice,peas,medium,0,2.58
45.19,8.11,sandy,aster,2,1.11,0,0,1,1,2,lettuce,soybean|corn,medium,0,4.39
6.44,5.47,clay,allium,2,0.53,0,1,0,2,2,onion,carrot|onion,high,1,5.36
38.55,4.59,loam,grain,3,0.91,0,1,1,1,3,rice,rice|beans|corn,high,1,6.38
36.14,8.14,sandy,brassica,3,1.14,0,0,0,4,4,broccoli,potato|carrot|onion|wheat,medium,0,4.17
31.84,6.33,sandy,nightshade,3,0,0,0,0,1,1,tomato,onion,medium,0,2.9
19.38,6.95,loam,nightshade,2,0.15,1,0,1,4,4,pepper,potato|rice|onion|broccoli,medium,0,2.4
25.34,8.2,loam,grain,3,1.7,0,0,0,2,2,rice,corn|onion,high,0,4.97
26.74,7.26,loam,legume,1,0.26,1,1,0,0,2,soybean,broccoli|soybean,low,1,1.72
38.49,4.53,loam,grain,2,1.47,1,1,0,1,1,wheat,wheat,medium,1,4.08
25.72,5.21,sandy,umbellifer,1,0.79,1,0,0,0,2,carrot,onion|clover,low,0,0.59
22.78,4.41,silt,legume,1,1.59,0,1,0,0,3,beans,onion|broccoli|clover,medium,1,4.12
48.58,6.85,sandy,grain,3,0.35,0,0,0,0,2,rice,carrot|clover,medium,0,2.42
5.19,4.95,silt,nightshade,3,1.05,0,1,0,1,3,tomato,soybean|soybean|pepper,medium,1,4.5
14.53,4.82,silt,grain,3,0.68,1,0,1,1,2,rice,peas|broccoli,medium,0,3.35
32.34,7.85,loam,legume,1,0.85,1,0,0,1,1,clover,carrot,low,0,1.83
14.79,6.1,clay,legume,1,0,0,0,0,2,2,beans,pepper|potato,low,0,1.81
16.6,5.37,clay,allium,2,0.63,0,0,0,1,1,onion,lettuce,low,0,1.66
3.66,7.49,sandy,legume,1,0.49,0,1,0,0,3,soybean,potato|potato|beans,medium,1,3.84
45.2,5.91,loam,grain,3,0,0,0,1,1,4,rice,cabbage|carrot|peas|tomato,medium,0,3.74
39.76,4.89,sandy,brassica,3,1.11,0,0,1,1,1,cabbage,tomato,high,0,4.97
27.18,4.81,loam,grain,3,0.99,1,0,0,0,3,corn,cabbage|carrot|clover,medium,0,2.03
43.25,8.19,silt,legume,1,1.19,1,0,0,0,0,soybean,,low,0,1.62
33.28,6.7,loam,nightshade,3,0,1,0,1,1,1,tomato,broccoli,medium,0,2.64
36.16,7.06,loam,grain,3,0.06,1,0,0,0,2,corn,wheat|peas,low,0,0.51
